name,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,nonlinearLeftShear_0_lengthRatio,nonlinearLeftShear_0_stiffnessRatio,nonlinearLeftShear_1_lengthRatio,nonlinearLeftShear_1_stiffnessRatio,nonlinearLeftShear_2_lengthRatio,nonlinearLeftShear_2_stiffnessRatio,nonlinearLeftShear_3_lengthRatio,nonlinearLeftShear_3_stiffnessRatio,nonlinearRightShear_0_lengthRatio,nonlinearRightShear_0_stiffnessRatio,nonlinearRightShear_1_lengthRatio,nonlinearRightShear_1_stiffnessRatio,nonlinearRightShear_2_lengthRatio,nonlinearRightShear_2_stiffnessRatio,nonlinearRightShear_3_lengthRatio,nonlinearRightShear_3_stiffnessRatio,nonlinearStretchWarp_0_lengthRatio,nonlinearStretchWarp_0_stiffnessRatio,nonlinearStretchWarp_1_lengthRatio,nonlinearStretchWarp_1_stiffnessRatio,nonlinearStretchWarp_2_lengthRatio,nonlinearStretchWarp_2_stiffnessRatio,nonlinearStretchWarp_3_lengthRatio,nonlinearStretchWarp_3_stiffnessRatio,nonlinearStretchWeft_0_lengthRatio,nonlinearStretchWeft_0_stiffnessRatio,nonlinearStretchWeft_1_lengthRatio,nonlinearStretchWeft_1_stiffnessRatio,nonlinearStretchWeft_2_lengthRatio,nonlinearStretchWeft_2_stiffnessRatio,nonlinearStretchWeft_3_lengthRatio,nonlinearStretchWeft_3_stiffnessRatio,rightShear,stretchWarp,stretchWeft,thickness
V1_Woven_Silk_Organza_2397,4221.443359375,4221.443359375,4982.44189453125,4598.94677734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.232324600219727,0.029999999329447746,9.999999747378752e-05,6361.06494140625,1.0,0.15720638632774353,1.1112525463104248,14.291411399841309,1.2195825576782227,14.291411399841309,1.301835060119629,231.6855010986328,1.0,0.15720638632774353,1.1112525463104248,14.291411399841309,1.2195825576782227,14.291411399841309,1.301835060119629,231.6855010986328,1.0,0.006083912216126919,1.0074975490570068,12.167824745178223,1.0108325481414795,12.167824745178223,1.014335036277771,12.167824745178223,1.0,0.005542607977986336,1.0062450170516968,11.08521556854248,1.007912516593933,11.08521556854248,1.0101701021194458,11.08521556854248,6361.06494140625,82183.9609375,90210.2421875,0.10000000149011612
V1_Fur_Fox_2423,7539.82275390625,7539.82275390625,8796.4599609375,6283.185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.30303955078125,0.029999999329447746,9.999999747378752e-05,2400000.0,1.0,0.04358084499835968,1.0745949745178223,3.4170138835906982,1.172510027885437,9.49077033996582,1.2485100030899048,15.284012794494629,1.0,0.04358084499835968,1.0745949745178223,3.4170138835906982,1.172510027885437,9.49077033996582,1.2485100030899048,15.284012794494629,1.0,0.15631727874279022,1.070002555847168,3.400958776473999,1.1683449745178223,8.112329483032227,1.2443450689315796,10.630495071411133,1.0,0.042810145765542984,1.0995949506759644,2.761101245880127,1.197510004043579,5.695216655731201,1.2735100984573364,6.4740986824035645,2400000.0,2200000.0,1700000.0,0.6700000166893005
V1_Fur_Fox_2424,7539.82275390625,7539.82275390625,8796.4599609375,6283.185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.30303955078125,0.029999999329447746,9.999999747378752e-05,2400000.0,1.0,0.04358084499835968,1.0745949745178223,3.4170138835906982,1.172510027885437,9.49077033996582,1.2485100030899048,15.284012794494629,1.0,0.04358084499835968,1.0745949745178223,3.4170138835906982,1.172510027885437,9.49077033996582,1.2485100030899048,15.284012794494629,1.0,0.15631727874279022,1.070002555847168,3.400958776473999,1.1683449745178223,8.112329483032227,1.2443450689315796,10.630495071411133,1.0,0.042810145765542984,1.0995949506759644,2.761101245880127,1.197510004043579,5.695216655731201,1.2735100984573364,6.4740986824035645,2400000.0,2200000.0,1700000.0,0.6700000166893005
V1_Fur_Fox_2425,7539.82275390625,7539.82275390625,8796.4599609375,6283.185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.30303955078125,0.029999999329447746,9.999999747378752e-05,2400000.0,1.0,0.04358084499835968,1.0745949745178223,3.4170138835906982,1.172510027885437,9.49077033996582,1.2485100030899048,15.284012794494629,1.0,0.04358084499835968,1.0745949745178223,3.4170138835906982,1.172510027885437,9.49077033996582,1.2485100030899048,15.284012794494629,1.0,0.15631727874279022,1.070002555847168,3.400958776473999,1.1683449745178223,8.112329483032227,1.2443450689315796,10.630495071411133,1.0,0.042810145765542984,1.0995949506759644,2.761101245880127,1.197510004043579,5.695216655731201,1.2735100984573364,6.4740986824035645,2400000.0,2200000.0,1700000.0,0.6700000166893005
V1_Cut_Sew_Knit_Sherpa_Fleece_Poly_300gsm_2453,3496.39794921875,3496.39794921875,4598.94677734375,2202.101318359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.029999999329447746,9.999999747378752e-05,22959.880859375,1.0,0.04355423152446747,1.0745949745178223,3.414933204650879,1.172510027885437,9.484830856323242,1.2485100030899048,15.2749605178833,1.0,0.04355423152446747,1.0745949745178223,3.414933204650879,1.172510027885437,9.484830856323242,1.2485100030899048,15.2749605178833,1.0,0.15638482570648193,1.070002555847168,3.4024455547332764,1.1683449745178223,8.11589241027832,1.2443450689315796,10.635109901428223,1.0,0.04267420992255211,1.0995949506759644,2.7524075508117676,1.197510004043579,5.6771955490112305,1.2735100984573364,6.453652858734131,22959.880859375,27059.078125,11716.6787109375,0.6700000166893005
V2_Woven_Melton_Boiled_2_2489,54922.30078125,54922.30078125,105707.5078125,78429.765625,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25049924850463867,0.25049924850463867,0.2500053346157074,0.2501176595687866,527.0,0.029999999329447746,9.999999747378752e-05,34418.34765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39119.015625,70733.5625,74617.171875,0.5
V1_Woven_Nylon_Featherweight_2523,602.2073364257812,602.2073364257812,482.36505126953125,775.9785766601562,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,33.838382720947266,0.029999999329447746,9.999999747378752e-05,13856.642578125,1.0,0.07216755300760269,1.0491650104522705,9.639202117919922,1.0891649723052979,19.720300674438477,1.1201651096343994,23.33590316772461,1.0,0.07216755300760269,1.0491650104522705,9.639202117919922,1.0891649723052979,19.720300674438477,1.1201651096343994,23.33590316772461,1.0,0.5323887467384338,1.0032875537872314,4.768847942352295,1.0062475204467773,4.768847942352295,1.00850510597229,4.768847942352295,1.0,0.006998629309237003,1.0104174613952637,10.225602149963379,1.0154149532318115,13.997258186340332,1.020164966583252,13.997258186340332,13856.642578125,209694.25,71442.5625,0.05000000074505806
V2_Woven_Chiffon_3_2557,1058.3443603515625,1058.3443603515625,1835.456298828125,1282.95849609375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25339627265930176,0.25339627265930176,0.2696506977081299,0.2680686116218567,56.0,0.029999999329447746,9.999999747378752e-05,4716.57861328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716.57861328125,42288.953125,67068.5,0.5
V2_Cut_Sew_Knit_PolarFleece_1_2597,5473.37255859375,5473.37255859375,8176.9091796875,6392.5908203125,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.8679426312446594,0.8679426312446594,0.8694344162940979,0.8708694577217102,231.0,0.029999999329447746,9.999999747378752e-05,24922.564453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24922.564453125,44650.390625,30012.875,0.5
V2_Woven_Chiffon_2_2637,1133.9404296875,1133.9404296875,1966.560302734375,1374.598388671875,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25339627265930176,0.25339627265930176,0.2696506977081299,0.2680686116218567,60.0,0.029999999329447746,9.999999747378752e-05,5053.47705078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5053.47705078125,45309.59375,71859.109375,0.5
