ITEM#,friction,bendingWeft,bucklingStiffnessWeft,thickness,bucklingStiffnessBias,bucklingRatioWarp,bendingBias,internalDamping,stretchWarp,stretchWeft,bucklingRatioWias,bucklingRatioWeft,density,shear,bendingWarp,bucklingStiffnessWarp
BB0070A-3,0.029999999329447746,485.2294921875,0.0,0.31200000643730164,0.0,0.0,329.58984375,9.999999747378752e-05,23535.44921875,41155.25390625,0.0,0.0,127.77777862548828,85450.796875,173.9501953125,0.0
BD-0120,0.029999999329447746,149.5361328125,0.0,0.5199999809265137,0.0,0.0,143.4326171875,9.999999747378752e-05,40146.7421875,34103.0234375,0.0,0.0,138.3838348388672,10414.4462890625,137.3291015625,0.0
BIG STRIPE,0.029999999329447746,10940.5517578125,0.0,0.4699999988079071,0.0,0.0,7815.5517578125,9.999999747378752e-05,721678.75,655370.1875,0.0,0.0,201.01010131835938,8160.2451171875,4690.5517578125,0.0
BM-3651Z4,0.029999999329447746,149.5361328125,0.0,0.10000000149011612,0.0,0.0,1248.1689453125,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,85.3535385131836,24121.1640625,2346.8017578125,0.0
BONTEX-1153,0.029999999329447746,14059.4482421875,0.0,1.1640000343322754,0.0,0.0,13278.1982421875,9.999999747378752e-05,546344.9375,709277.8125,0.0,0.0,344.9494934082031,395060.0625,12496.9482421875,0.0
BPT-829HZ,0.029999999329447746,1559.4482421875,0.0,0.2709999978542328,0.0,0.0,3903.1982421875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,212.6262664794922,62343.5390625,6246.9482421875,0.0
BPTS-81089,0.029999999329447746,94.6044921875,0.0,0.5400000214576721,0.0,0.0,155.6396484375,9.999999747378752e-05,28858.1640625,13994.267578125,0.0,0.0,186.8686981201172,6392.72216796875,216.6748046875,0.0
BPTS-PE16202,0.029999999329447746,344.8486328125,0.0,0.27000001072883606,0.0,0.0,366.2109375,9.999999747378752e-05,307497.4375,450882.78125,0.0,0.0,143.43434143066406,7136.17626953125,387.5732421875,0.0
BPTS-PN11319,0.029999999329447746,1559.4482421875,0.0,0.3100000023841858,0.0,0.0,1095.5810546875,9.999999747378752e-05,621856.25,357317.8125,0.0,0.0,148.98989868164062,28095.0703125,631.7138671875,0.0
BPTS-PN11340,0.029999999329447746,540.1611328125,0.0,0.33000001311302185,0.0,0.0,683.59375,9.999999747378752e-05,352408.0625,210454.546875,0.0,0.0,150.0,13077.890625,827.0263671875,0.0
BPTS-PN14262,0.029999999329447746,2346.8017578125,0.0,0.25,0.0,0.0,1416.015625,9.999999747378752e-05,404060.34375,437163.40625,0.0,0.0,135.85858154296875,12766.8115234375,485.2294921875,0.0
BPTS-PN16090,0.029999999329447746,387.5732421875,0.0,0.3100000023841858,0.0,0.0,436.4013671875,9.999999747378752e-05,396269.40625,653162.75,0.0,0.0,167.67677307128906,21559.28515625,485.2294921875,0.0
BPTS-PN17092,0.029999999329447746,588.9892578125,0.0,0.2800000011920929,0.0,0.0,500.48828125,9.999999747378752e-05,390875.3125,415263.9375,0.0,0.0,148.48484802246094,9024.291015625,411.9873046875,0.0
BPTS-PN17153,0.029999999329447746,973.5107421875,0.0,0.3199999928474426,0.0,0.0,1074.21875,9.999999747378752e-05,335395.96875,531666.125,0.0,0.0,151.01010131835938,14709.7412109375,1174.9267578125,0.0
C180007-1,0.029999999329447746,94.6044921875,0.0,0.4099999964237213,0.0,0.0,134.27734375,9.999999747378752e-05,111221.1796875,38283.97265625,0.0,0.0,164.64646911621094,13695.5546875,173.9501953125,0.0
CD90SP20(MELANGE),0.029999999329447746,76.2939453125,0.0,0.41999998688697815,0.0,0.0,158.69140625,9.999999747378752e-05,143483.0,342335.6875,0.0,0.0,177.27272033691406,10205.841796875,241.0888671875,0.0
CHANNEL STRIPE,0.029999999329447746,7809.4482421875,0.0,0.41999998688697815,0.0,0.0,4147.3388671875,9.999999747378752e-05,494664.375,852438.3125,0.0,0.0,134.34344482421875,87759.640625,485.2294921875,0.0
