name,nonlinearStretchWarp,bucklingRatioLeftBias,density,bendingWeft,bucklingRatioRightBias,nonlinearRightShear,stretchWarp,bendingRightBias,nonlinearStretchWeft,bucklingStiffnessRightBias,bucklingStiffnessLeftBias,leftShear,nonlinearLeftShear,thickness,stretchWeft,internalDamping,bucklingRatioWarp,bendingWarp,rightShear,bucklingStiffnessWeft,bucklingStiffnessWarp,friction,bendingLeftBias,bucklingRatioWeft
V1_Cut_Sew_Knit_Sherpa_Fleece_Poly_265gsm_10060,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15638482570648193}, {'lengthRatio': 1.070002555847168, 'stiffnessRatio': 3.4024455547332764}, {'lengthRatio': 1.1683449745178223, 'stiffnessRatio': 8.11589241027832}, {'lengthRatio': 1.2443450689315796, 'stiffnessRatio': 10.635109901428223}]",0.0,265.0,2202.101318359375,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04355423152446747}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.414933204650879}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.484830856323242}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.2749605178833}]",27059.078125,3496.39794921875,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04267420992255211}, {'lengthRatio': 1.0995949506759644, 'stiffnessRatio': 2.7524075508117676}, {'lengthRatio': 1.197510004043579, 'stiffnessRatio': 5.6771955490112305}, {'lengthRatio': 1.2735100984573364, 'stiffnessRatio': 6.453652858734131}]",0.0,0.0,22959.880859375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04355423152446747}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.414933204650879}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.484830856323242}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.2749605178833}]",0.6700000166893005,11716.6787109375,9.999999747378752e-05,0.0,4598.94677734375,22959.880859375,0.0,0.0,0.029999999329447746,3496.39794921875,0.0
V2_Cut_Sew_Knit_Crochet_1_10093,,0.30000001192092896,198.0,3534.98193359375,0.30000001192092896,,3921.378662109375,9002.17578125,,0.5023144483566284,0.5023144483566284,2930.786865234375,,0.5,2761.64306640625,9.999999747378752e-05,0.30000001192092896,10747.6220703125,2859.28173828125,0.4933900833129883,0.5025362372398376,0.029999999329447746,9002.17578125,0.30000001192092896
V2_Woven_Memory_1_10135,,0.30000001192092896,104.0,9522.7333984375,0.30000001192092896,,181949.390625,8222.1279296875,,0.28927844762802124,0.28927844762802124,109280.2734375,,0.5,172155.984375,9.999999747378752e-05,0.30000001192092896,5634.00732421875,110599.109375,0.29002830386161804,0.28839433193206787,0.029999999329447746,8222.1279296875,0.30000001192092896
V1_Cut_Sew_Knit_Silk_Knit_Jersey_10173,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.3142237663269043}, {'lengthRatio': 1.0537525415420532, 'stiffnessRatio': 3.2493066787719727}, {'lengthRatio': 1.1254149675369263, 'stiffnessRatio': 6.776471138000488}, {'lengthRatio': 1.1801600456237793, 'stiffnessRatio': 10.361431121826172}]",0.0,160.10101318359375,218.7121124267578,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.5012657642364502}, {'lengthRatio': 1.0883350372314453, 'stiffnessRatio': 2.7751548290252686}, {'lengthRatio': 1.2050000429153442, 'stiffnessRatio': 4.966038703918457}, {'lengthRatio': 1.2935000658035278, 'stiffnessRatio': 6.2699809074401855}]",27402.1171875,242.68055725097656,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.9956368207931519}, {'lengthRatio': 1.1958324909210205, 'stiffnessRatio': 1.008307933807373}, {'lengthRatio': 1.3925000429153442, 'stiffnessRatio': 19.53373146057129}, {'lengthRatio': 1.5410000085830688, 'stiffnessRatio': 26.64373779296875}]",0.0,0.0,17843.2890625,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.5012657642364502}, {'lengthRatio': 1.0883350372314453, 'stiffnessRatio': 2.7751548290252686}, {'lengthRatio': 1.2050000429153442, 'stiffnessRatio': 4.966038703918457}, {'lengthRatio': 1.2935000658035278, 'stiffnessRatio': 6.2699809074401855}]",0.4699999988079071,502.191162109375,9.999999747378752e-05,0.0,254.66477966308594,17843.2890625,0.0,0.0,0.029999999329447746,242.68055725097656,0.0
V1_Cut_Sew_Knit_Fleece_Terry_10205,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.01303842943161726}, {'lengthRatio': 1.0295850038528442, 'stiffnessRatio': 3.903463840484619}, {'lengthRatio': 1.0712499618530273, 'stiffnessRatio': 5.486284255981445}, {'lengthRatio': 1.1035000085830688, 'stiffnessRatio': 6.6169753074646}]",0.0,226.2626190185547,6905.90966796875,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.047087550163269, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.1554224491119385, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.2376749515533447, 'stiffnessRatio': 1.0}]",38348.17578125,7672.89990234375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.7309545278549194}, {'lengthRatio': 1.0370874404907227, 'stiffnessRatio': 1.9345215559005737}, {'lengthRatio': 1.10207998752594, 'stiffnessRatio': 2.200955867767334}, {'lengthRatio': 1.1518300771713257, 'stiffnessRatio': 2.7802512645721436}]",0.0,0.0,134264.609375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.047087550163269, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.1554224491119385, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.2376749515533447, 'stiffnessRatio': 1.0}]",1.1699999570846558,60241.4765625,9.999999747378752e-05,0.0,11693.6083984375,134264.609375,0.0,0.0,0.029999999329447746,7672.89990234375,0.0
V2_Woven_DoubleWeave_2_10241,,0.30000001192092896,248.0,33388.5234375,0.30000001192092896,,49116.64453125,19557.1015625,,0.2512235641479492,0.2512235641479492,8062.52978515625,,0.5,47079.0859375,9.999999747378752e-05,0.30000001192092896,28935.7578125,9914.416015625,0.25214532017707825,0.2515912353992462,0.029999999329447746,19557.1015625,0.30000001192092896
V2_Woven_Georgette_1_10283,,0.30000001192092896,36.0,321.1263122558594,0.30000001192092896,,65033.4609375,242.8116912841797,,0.5191568732261658,0.5191568732261658,2793.70166015625,,0.5,26660.005859375,9.999999747378752e-05,0.30000001192092896,594.7388916015625,3832.769775390625,0.48576268553733826,0.4952521026134491,0.029999999329447746,242.8116912841797,0.30000001192092896
V2_Woven_Eyelet_1_10325,,0.30000001192092896,164.0,4657.103515625,0.30000001192092896,,98372.5703125,7076.24951171875,,0.2501041293144226,0.2501041293144226,7598.43994140625,,0.5,40296.60546875,9.999999747378752e-05,0.30000001192092896,4604.6982421875,15308.349609375,0.2539610266685486,0.2511290907859802,0.029999999329447746,7076.24951171875,0.30000001192092896
V1_Woven_Muslin_18X20_10361,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.27094316482543945}, {'lengthRatio': 1.0036749839782715, 'stiffnessRatio': 3.030010461807251}, {'lengthRatio': 1.00958251953125, 'stiffnessRatio': 4.697479248046875}, {'lengthRatio': 1.0118350982666016, 'stiffnessRatio': 4.697479248046875}]",0.30000001192092896,103.03030395507812,3262.705078125,0.30000001192092896,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.9737807512283325}, {'lengthRatio': 1.03957998752594, 'stiffnessRatio': 1.5503696203231812}, {'lengthRatio': 1.13458251953125, 'stiffnessRatio': 2.2644190788269043}, {'lengthRatio': 1.2068300247192383, 'stiffnessRatio': 4.542385578155518}]",212880.125,4598.94677734375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.21327143907546997}, {'lengthRatio': 1.0079100131988525, 'stiffnessRatio': 5.135258674621582}, {'lengthRatio': 1.0162475109100342, 'stiffnessRatio': 6.559344291687012}, {'lengthRatio': 1.0235000848770142, 'stiffnessRatio': 6.559344291687012}]",0.25,0.25,99420.25,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.9737807512283325}, {'lengthRatio': 1.03957998752594, 'stiffnessRatio': 1.5503696203231812}, {'lengthRatio': 1.13458251953125, 'stiffnessRatio': 2.2644190788269043}, {'lengthRatio': 1.2068300247192383, 'stiffnessRatio': 4.542385578155518}]",0.30000001192092896,152454.265625,9.999999747378752e-05,0.30000001192092896,6138.9189453125,99420.25,0.25,0.25,0.029999999329447746,4598.94677734375,0.30000001192092896
V2_Cut_Sew_Knit_JacquardKnit_3_10393,,0.30000001192092896,272.0,4677.642578125,0.30000001192092896,,62339.43359375,2430.15478515625,,1.0,1.0,24308.55859375,,0.5,56303.92578125,9.999999747378752e-05,0.30000001192092896,7115.677734375,25776.6640625,1.0,1.0,0.029999999329447746,2430.15478515625,0.30000001192092896
V2_Woven_DoubleWeave_3_10431,,0.30000001192092896,480.0,99895.453125,0.30000001192092896,,141003.015625,43708.61328125,,0.25,0.25,55299.59375,,0.5,130797.375,9.999999747378752e-05,0.30000001192092896,99895.453125,55299.59375,0.25,0.25,0.029999999329447746,43708.61328125,0.30000001192092896
V1_Woven_Cotton_Heavy_Twill_10465,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.35829779505729675}, {'lengthRatio': 1.0028325319290161, 'stiffnessRatio': 2.0380914211273193}, {'lengthRatio': 1.007502555847168, 'stiffnessRatio': 2.0380914211273193}, {'lengthRatio': 1.0109950304031372, 'stiffnessRatio': 2.0380914211273193}]",0.30000001192092896,277.77777099609375,18428.7421875,0.30000001192092896,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.4162435829639435}, {'lengthRatio': 1.0032474994659424, 'stiffnessRatio': 1.4376112222671509}, {'lengthRatio': 1.019587516784668, 'stiffnessRatio': 1.4376112222671509}, {'lengthRatio': 1.036834955215454, 'stiffnessRatio': 1.4376112222671509}]",490655.125,30676.623046875,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.26680320501327515}, {'lengthRatio': 1.0015599727630615, 'stiffnessRatio': 1.5887396335601807}, {'lengthRatio': 1.0049874782562256, 'stiffnessRatio': 1.5887396335601807}, {'lengthRatio': 1.00850510597229, 'stiffnessRatio': 1.5887396335601807}]",0.25,0.25,502460.875,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.4162435829639435}, {'lengthRatio': 1.0032474994659424, 'stiffnessRatio': 1.4376112222671509}, {'lengthRatio': 1.019587516784668, 'stiffnessRatio': 1.4376112222671509}, {'lengthRatio': 1.036834955215454, 'stiffnessRatio': 1.4376112222671509}]",0.6200000047683716,629429.75,9.999999747378752e-05,0.30000001192092896,49084.390625,502460.875,0.25,0.25,0.029999999329447746,30676.623046875,0.30000001192092896
V2_Woven_Chambray_Oxford_3_10497,,0.30000001192092896,120.0,6448.51708984375,0.30000001192092896,,159143.546875,8292.6279296875,,0.25188198685646057,0.25188198685646057,29235.087890625,,0.5,131241.75,9.999999747378752e-05,0.30000001192092896,8101.35693359375,29235.087890625,0.25310051441192627,0.25307804346084595,0.029999999329447746,8292.6279296875,0.30000001192092896
V2_Cut_Sew_Knit_LowGaugeKnit_2_10537,,0.30000001192092896,288.0,2321.362060546875,0.30000001192092896,,20277.423828125,2798.19091796875,,0.817510187625885,0.817510187625885,9431.6962890625,,0.5,9727.859375,9.999999747378752e-05,0.30000001192092896,7505.91650390625,8903.169921875,0.8000175952911377,0.8286316394805908,0.029999999329447746,2798.19091796875,0.30000001192092896
V2_Cut_Sew_Knit_Pique_3_10579,,0.30000001192092896,296.0,798.8773803710938,0.30000001192092896,,17955.306640625,2014.577392578125,,1.0,1.0,15595.849609375,,0.5,17281.166015625,9.999999747378752e-05,0.30000001192092896,9779.08203125,21313.642578125,1.0,1.0,0.029999999329447746,2014.577392578125,0.30000001192092896
