name,bendingRightBias,stretchWarp,bucklingRatioWeft,bucklingStiffnessWeft,bucklingStiffnessRightBias,bucklingStiffnessWarp,rightShear,bucklingStiffnessLeftBias,internalDamping,nonlinearLeftShear,bucklingRatioRightBias,bendingWeft,density,stretchWeft,bendingWarp,nonlinearStretchWeft,leftShear,bucklingRatioLeftBias,nonlinearRightShear,thickness,bendingLeftBias,friction,bucklingRatioWarp,nonlinearStretchWarp
V1_Woven_Silk_Organza_2397,4221.443359375,82183.9609375,0.0,0.0,0.0,0.0,6361.06494140625,0.0,9.999999747378752e-05,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15720638632774353}, {'lengthRatio': 1.1112525463104248, 'stiffnessRatio': 14.291411399841309}, {'lengthRatio': 1.2195825576782227, 'stiffnessRatio': 14.291411399841309}, {'lengthRatio': 1.301835060119629, 'stiffnessRatio': 231.6855010986328}]",0.0,4598.94677734375,23.232324600219727,90210.2421875,4982.44189453125,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.005542607977986336}, {'lengthRatio': 1.0062450170516968, 'stiffnessRatio': 11.08521556854248}, {'lengthRatio': 1.007912516593933, 'stiffnessRatio': 11.08521556854248}, {'lengthRatio': 1.0101701021194458, 'stiffnessRatio': 11.08521556854248}]",6361.06494140625,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15720638632774353}, {'lengthRatio': 1.1112525463104248, 'stiffnessRatio': 14.291411399841309}, {'lengthRatio': 1.2195825576782227, 'stiffnessRatio': 14.291411399841309}, {'lengthRatio': 1.301835060119629, 'stiffnessRatio': 231.6855010986328}]",0.10000000149011612,4221.443359375,0.029999999329447746,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.006083912216126919}, {'lengthRatio': 1.0074975490570068, 'stiffnessRatio': 12.167824745178223}, {'lengthRatio': 1.0108325481414795, 'stiffnessRatio': 12.167824745178223}, {'lengthRatio': 1.014335036277771, 'stiffnessRatio': 12.167824745178223}]"
V1_Fur_Fox_2423,7539.82275390625,2200000.0,0.0,0.0,0.0,0.0,2400000.0,0.0,9.999999747378752e-05,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",0.0,6283.185546875,230.30303955078125,1700000.0,8796.4599609375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.042810145765542984}, {'lengthRatio': 1.0995949506759644, 'stiffnessRatio': 2.761101245880127}, {'lengthRatio': 1.197510004043579, 'stiffnessRatio': 5.695216655731201}, {'lengthRatio': 1.2735100984573364, 'stiffnessRatio': 6.4740986824035645}]",2400000.0,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",0.6700000166893005,7539.82275390625,0.029999999329447746,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15631727874279022}, {'lengthRatio': 1.070002555847168, 'stiffnessRatio': 3.400958776473999}, {'lengthRatio': 1.1683449745178223, 'stiffnessRatio': 8.112329483032227}, {'lengthRatio': 1.2443450689315796, 'stiffnessRatio': 10.630495071411133}]"
V1_Fur_Fox_2424,7539.82275390625,2200000.0,0.0,0.0,0.0,0.0,2400000.0,0.0,9.999999747378752e-05,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",0.0,6283.185546875,230.30303955078125,1700000.0,8796.4599609375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.042810145765542984}, {'lengthRatio': 1.0995949506759644, 'stiffnessRatio': 2.761101245880127}, {'lengthRatio': 1.197510004043579, 'stiffnessRatio': 5.695216655731201}, {'lengthRatio': 1.2735100984573364, 'stiffnessRatio': 6.4740986824035645}]",2400000.0,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",0.6700000166893005,7539.82275390625,0.029999999329447746,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15631727874279022}, {'lengthRatio': 1.070002555847168, 'stiffnessRatio': 3.400958776473999}, {'lengthRatio': 1.1683449745178223, 'stiffnessRatio': 8.112329483032227}, {'lengthRatio': 1.2443450689315796, 'stiffnessRatio': 10.630495071411133}]"
V1_Fur_Fox_2425,7539.82275390625,2200000.0,0.0,0.0,0.0,0.0,2400000.0,0.0,9.999999747378752e-05,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",0.0,6283.185546875,230.30303955078125,1700000.0,8796.4599609375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.042810145765542984}, {'lengthRatio': 1.0995949506759644, 'stiffnessRatio': 2.761101245880127}, {'lengthRatio': 1.197510004043579, 'stiffnessRatio': 5.695216655731201}, {'lengthRatio': 1.2735100984573364, 'stiffnessRatio': 6.4740986824035645}]",2400000.0,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",0.6700000166893005,7539.82275390625,0.029999999329447746,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15631727874279022}, {'lengthRatio': 1.070002555847168, 'stiffnessRatio': 3.400958776473999}, {'lengthRatio': 1.1683449745178223, 'stiffnessRatio': 8.112329483032227}, {'lengthRatio': 1.2443450689315796, 'stiffnessRatio': 10.630495071411133}]"
V1_Cut_Sew_Knit_Sherpa_Fleece_Poly_300gsm_2453,3496.39794921875,27059.078125,0.0,0.0,0.0,0.0,22959.880859375,0.0,9.999999747378752e-05,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04355423152446747}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.414933204650879}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.484830856323242}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.2749605178833}]",0.0,2202.101318359375,300.0,11716.6787109375,4598.94677734375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04267420992255211}, {'lengthRatio': 1.0995949506759644, 'stiffnessRatio': 2.7524075508117676}, {'lengthRatio': 1.197510004043579, 'stiffnessRatio': 5.6771955490112305}, {'lengthRatio': 1.2735100984573364, 'stiffnessRatio': 6.453652858734131}]",22959.880859375,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04355423152446747}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.414933204650879}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.484830856323242}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.2749605178833}]",0.6700000166893005,3496.39794921875,0.029999999329447746,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15638482570648193}, {'lengthRatio': 1.070002555847168, 'stiffnessRatio': 3.4024455547332764}, {'lengthRatio': 1.1683449745178223, 'stiffnessRatio': 8.11589241027832}, {'lengthRatio': 1.2443450689315796, 'stiffnessRatio': 10.635109901428223}]"
V2_Woven_Melton_Boiled_2_2489,54922.30078125,70733.5625,0.30000001192092896,0.2501176595687866,0.25049924850463867,0.2500053346157074,39119.015625,0.25049924850463867,9.999999747378752e-05,,0.30000001192092896,78429.765625,527.0,74617.171875,105707.5078125,,34418.34765625,0.30000001192092896,,0.5,54922.30078125,0.029999999329447746,0.30000001192092896,
V1_Woven_Nylon_Featherweight_2523,602.2073364257812,209694.25,0.30000001192092896,0.25,0.25,0.25,13856.642578125,0.25,9.999999747378752e-05,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.07216755300760269}, {'lengthRatio': 1.0491650104522705, 'stiffnessRatio': 9.639202117919922}, {'lengthRatio': 1.0891649723052979, 'stiffnessRatio': 19.720300674438477}, {'lengthRatio': 1.1201651096343994, 'stiffnessRatio': 23.33590316772461}]",0.30000001192092896,775.9785766601562,33.838382720947266,71442.5625,482.36505126953125,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.006998629309237003}, {'lengthRatio': 1.0104174613952637, 'stiffnessRatio': 10.225602149963379}, {'lengthRatio': 1.0154149532318115, 'stiffnessRatio': 13.997258186340332}, {'lengthRatio': 1.020164966583252, 'stiffnessRatio': 13.997258186340332}]",13856.642578125,0.30000001192092896,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.07216755300760269}, {'lengthRatio': 1.0491650104522705, 'stiffnessRatio': 9.639202117919922}, {'lengthRatio': 1.0891649723052979, 'stiffnessRatio': 19.720300674438477}, {'lengthRatio': 1.1201651096343994, 'stiffnessRatio': 23.33590316772461}]",0.05000000074505806,602.2073364257812,0.029999999329447746,0.30000001192092896,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.5323887467384338}, {'lengthRatio': 1.0032875537872314, 'stiffnessRatio': 4.768847942352295}, {'lengthRatio': 1.0062475204467773, 'stiffnessRatio': 4.768847942352295}, {'lengthRatio': 1.00850510597229, 'stiffnessRatio': 4.768847942352295}]"
V2_Woven_Chiffon_3_2557,1058.3443603515625,42288.953125,0.30000001192092896,0.2680686116218567,0.25339627265930176,0.2696506977081299,4716.57861328125,0.25339627265930176,9.999999747378752e-05,,0.30000001192092896,1282.95849609375,56.0,67068.5,1835.456298828125,,4716.57861328125,0.30000001192092896,,0.5,1058.3443603515625,0.029999999329447746,0.30000001192092896,
V2_Cut_Sew_Knit_PolarFleece_1_2597,5473.37255859375,44650.390625,0.30000001192092896,0.8708694577217102,0.8679426312446594,0.8694344162940979,24922.564453125,0.8679426312446594,9.999999747378752e-05,,0.30000001192092896,6392.5908203125,231.0,30012.875,8176.9091796875,,24922.564453125,0.30000001192092896,,0.5,5473.37255859375,0.029999999329447746,0.30000001192092896,
V2_Woven_Chiffon_2_2637,1133.9404296875,45309.59375,0.30000001192092896,0.2680686116218567,0.25339627265930176,0.2696506977081299,5053.47705078125,0.25339627265930176,9.999999747378752e-05,,0.30000001192092896,1374.598388671875,60.0,71859.109375,1966.560302734375,,5053.47705078125,0.30000001192092896,,0.5,1133.9404296875,0.029999999329447746,0.30000001192092896,
