name,bucklingStiffnessLeftBias,thickness,bucklingStiffnessRightBias,stretchWarp,density,bucklingStiffnessWeft,leftShear,bucklingRatioRightBias,bucklingStiffnessWarp,bendingRightBias,bendingWeft,rightShear,bucklingRatioLeftBias,stretchWeft,bucklingRatioWeft,friction,bendingWarp,bendingLeftBias,internalDamping,bucklingRatioWarp
Corduroy Cotton,0.25,0.6000000238418579,0.25,1000000.0,224.74746704101562,0.25,128514.5,0.30000001192092896,0.25,6102.56201171875,2686.50048828125,128514.5,0.30000001192092896,437556.9375,0.30000001192092896,0.029999999329447746,7811.54638671875,6102.56201171875,9.999999747378752e-05,0.30000001192092896
Woven Cotton,0.25,0.8999999761581421,0.25,959772.3125,135.35353088378906,0.25,143160.09375,0.30000001192092896,0.25,7811.54638671875,3905.29638671875,143160.09375,0.30000001192092896,1000000.0,0.30000001192092896,0.029999999329447746,5370.14013671875,7811.54638671875,9.999999747378752e-05,0.30000001192092896
Embroidery Cotton,0.25,1.100000023841858,0.25,1000000.0,110.60606384277344,0.25,11553.478515625,0.30000001192092896,0.25,1648.90283203125,1954.07861328125,11553.478515625,0.30000001192092896,558956.625,0.30000001192092896,0.029999999329447746,1952.17138671875,1648.90283203125,9.999999747378752e-05,0.30000001192092896
Corduroy Cotton,0.25,0.9300000071525574,0.25,1000000.0,300.0,0.25,26387.494140625,0.30000001192092896,0.25,8299.828125,7811.54638671875,26387.494140625,0.30000001192092896,588102.0625,0.30000001192092896,0.029999999329447746,7811.54638671875,8299.828125,9.999999747378752e-05,0.30000001192092896
Woven Viscose,0.25,0.36000001430511475,0.25,358186.9375,137.8787841796875,0.25,25567.990234375,0.30000001192092896,0.25,975.6088256835938,975.6088256835938,25567.990234375,0.30000001192092896,149936.828125,0.30000001192092896,0.029999999329447746,1280.78466796875,975.6088256835938,9.999999747378752e-05,0.30000001192092896
Embroidery Cotton,0.25,0.6000000238418579,0.25,403578.3125,118.18181610107422,0.25,31925.19921875,0.30000001192092896,0.25,3905.29638671875,1954.07861328125,31925.19921875,0.30000001192092896,1000000.0,0.30000001192092896,0.029999999329447746,855.4458618164062,3905.29638671875,9.999999747378752e-05,0.30000001192092896
Dobby Seersucker Cotton,0.25,0.5199999809265137,0.25,802940.3125,115.15151977539062,0.25,8068.67578125,0.30000001192092896,0.25,792.5033569335938,336.64703369140625,8068.67578125,0.30000001192092896,311956.59375,0.30000001192092896,0.029999999329447746,2699.85205078125,792.5033569335938,9.999999747378752e-05,0.30000001192092896
Woven Print Dobby Cotton,0.25,0.3700000047683716,0.25,354701.0,122.7272720336914,0.25,21239.443359375,0.30000001192092896,0.25,2686.50048828125,2808.57080078125,21239.443359375,0.30000001192092896,1000000.0,0.30000001192092896,0.029999999329447746,855.4458618164062,2686.50048828125,9.999999747378752e-05,0.30000001192092896
Woven Print Poplin Cotton,0.25,0.2199999988079071,0.25,1000000.0,108.080810546875,0.25,27001.8359375,0.30000001192092896,0.25,1952.17138671875,603.6758422851562,27001.8359375,0.30000001192092896,286371.9375,0.30000001192092896,0.029999999329447746,3905.29638671875,1952.17138671875,9.999999747378752e-05,0.30000001192092896
Cotton,0.25,0.44999998807907104,0.25,1000000.0,239.89898681640625,0.25,270184.15625,0.30000001192092896,0.25,15624.046875,15624.046875,270184.15625,0.30000001192092896,1000000.0,0.30000001192092896,0.029999999329447746,9764.671875,15624.046875,9.999999747378752e-05,0.30000001192092896
Flocking Polyester,0.25,0.4000000059604645,0.25,1000000.0,70.20201873779297,0.25,12391.888671875,0.30000001192092896,0.25,611.3052368164062,458.71734619140625,12391.888671875,0.30000001192092896,221018.3125,0.30000001192092896,0.029999999329447746,607.4905395507812,611.3052368164062,9.999999747378752e-05,0.30000001192092896
Cotton,0.25,0.44999998807907104,0.25,1000000.0,145.9595947265625,0.25,137373.765625,0.30000001192092896,0.25,4027.36669921875,1465.79736328125,137373.765625,0.30000001192092896,904262.375,0.30000001192092896,0.029999999329447746,5858.42138671875,4027.36669921875,9.999999747378752e-05,0.30000001192092896
