name,bucklingStiffnessWarp,bendingBias,bucklingRatioWeft,bucklingStiffnessBias,bucklingRatioWarp,bucklingRatioWias,thickness,bendingWeft,bendingWarp,shear,stretchWarp,stretchWeft,internalDamping,density,bucklingStiffnessWeft,friction
CutandSewKnit,0.0,4708.8623046875,0.0,0.0,0.0,0.0,2.0399999618530273,6246.9482421875,3170.7763671875,105430.734375,395185.15625,120944.875,9.999999747378752e-05,402.5252380371094,0.0,0.029999999329447746
CutandSewKnit,0.0,521.8505859375,0.0,0.0,0.0,0.0,1.3200000524520874,216.6748046875,827.0263671875,14368.61328125,138158.09375,25580.20703125,9.999999747378752e-05,188.88890075683594,0.0,0.029999999329447746
CutandSewKnit,0.0,2124.0234375,0.0,0.0,0.0,0.0,2.319999933242798,2297.9736328125,1950.0732421875,6152.05029296875,41555.1328125,37813.44921875,9.999999747378752e-05,333.3333435058594,0.0,0.029999999329447746
CutandSewKnit,0.0,781.25,0.0,0.0,0.0,0.0,2.2100000381469727,875.8544921875,686.6455078125,6664.66259765625,72264.640625,27643.859375,9.999999747378752e-05,286.8686828613281,0.0,0.029999999329447746
Neoprene,0.0,10159.3017578125,0.0,0.0,0.0,0.0,2.4700000286102295,10940.5517578125,9378.0517578125,123168.8203125,366601.28125,222800.5625,9.999999747378752e-05,352.02020263671875,0.0,0.029999999329447746
DoubleJersey,0.0,21875.0,0.0,0.0,0.0,0.0,1.7100000381469727,24996.94921875,18753.05078125,83589.4453125,217733.015625,224732.5625,9.999999747378752e-05,284.8484802246094,0.0,0.029999999329447746
NetMesh,0.0,10745.23828125,0.0,0.0,0.0,0.0,1.4800000190734863,2737.4267578125,18753.05078125,317680.65625,350000.0,117251.9453125,9.999999747378752e-05,233.3333282470703,0.0,0.029999999329447746
SingleJersey,0.0,662.2314453125,0.0,0.0,0.0,0.0,0.7400000095367432,149.5361328125,1174.9267578125,26231.642578125,65520.60546875,57568.46875,9.999999747378752e-05,209.59596252441406,0.0,0.029999999329447746
Vinyl,0.0,18359.375,0.0,0.0,0.0,0.0,0.8700000047683716,11721.8017578125,24996.94921875,1000000.0,1000000.0,1000000.0,9.999999747378752e-05,216.16162109375,0.0,0.029999999329447746
DoubleJersey,0.0,595.0927734375,0.0,0.0,0.0,0.0,1.2100000381469727,790.4052734375,399.7802734375,32529.58203125,135170.25,102647.078125,9.999999747378752e-05,272.2221984863281,0.0,0.029999999329447746
Ponte,0.0,109.86328125,0.0,0.0,0.0,0.0,1.1699999570846558,94.6044921875,125.1220703125,3159.66455078125,16682.3984375,5791.2998046875,9.999999747378752e-05,261.1111145019531,0.0,0.029999999329447746
Vinyl,0.0,28128.05078125,0.0,0.0,0.0,0.0,0.7599999904632568,18753.05078125,37503.05078125,1000000.0,1000000.0,1000000.0,9.999999747378752e-05,240.404052734375,0.0,0.029999999329447746
