ITEM#,Resource,WEIGHT (G/SM),Cuttable Width(inch),Fabric  Category,Fabric Type,FABRIC CONTENT 1,FABRIC CONTENT 2,FABRIC CONTENT 3,FABRIC CONTENT 4,FABRIC CONTENT 5,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,rightShear,stretchWarp,stretchWeft,thickness
7381,KTTA & KOTITI,379,,knit,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7399,KTTA & KOTITI,212,,knit,,polyester 95%,", Polyurethane 5%",,,,,,,,,,,,,,,,,,,,,,,
7399,KTTA & KOTITI,179,,knit,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7406,KTTA & KOTITI,195,,woven,,"polyester 48%, ",cotton 52%,,,,,,,,,,,,,,,,,,,,,,,
7406,KTTA & KOTITI,197,,woven,,Ramie 71%,Silk 29%,,,,,,,,,,,,,,,,,,,,,,,
7411,KTTA & KOTITI,167,,knit,,"polyester 58%, ","polyamide 29%,",EL 13%,,,,,,,,,,,,,,,,,,,,,,
7411,KTTA & KOTITI,200,,woven,,"polyester 61%, ","Silk 33%,",polyamide 6%,,,,,,,,,,,,,,,,,,,,,,
7430,KTTA & KOTITI,261,,woven,,"polyamide 92%,", Polyurethane 8%,,,,,,,,,,,,,,,,,,,,,,,
7431,KTTA & KOTITI,148,,knit,,"polyester 95%,",Polyurethane 5%,,,,,,,,,,,,,,,,,,,,,,,
7432,KTTA & KOTITI,57,,woven,,"viscose 52%,",polyester 48%,,,,,,,,,,,,,,,,,,,,,,,
7434,KTTA & KOTITI,166,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7434,KTTA & KOTITI,102,,woven,,acylic 100%,,,,,,,,,,,,,,,,,,,,,,,,
7435,KTTA & KOTITI,137,,woven,,"cotton 38%, ","Polyethylene 32%, ",ME 30%,,,,,,,,,,,,,,,,,,,,,,
7436,KTTA & KOTITI,67,,woven,,polyester 68%,", polyamide 32%",,,,,,,,,,,,,,,,,,,,,,,
